,Critical Cases,Diseased,Infected asymptomatic,Infected symptomatic,Isolated,Recovered,Susceptible,accumulated cases,case fatality rate,contact infectivity asymptomatic self,contact infectivity quarantine self,contact infectivity symptomatic self,contacts per person symptomatic self,critical cases recovery rate,death rate,deimmunization rate,first infection,fraction of symptomatic,incidence per 100000,infected asymptomatic recovery rate,infected critical case rate,infected symptomatic recovery rate,infection rate,infection rate asymptomatic self,infection rate quarantined self,infection rate symptomatic self,init total population,isolated critical case rate,isolated recovery rate,isolation rate asymptomatic,isolation rate symptomatic,new cases,non controlled population,symptomatic rate,total infected,total infection rate
135.0,4292.774299255781,207896.44012722865,6038.377229807427,4549.376946160506,0.0,6413410.982729145,1363812.0486684244,2622444.061559702,0.0792758340109577,0.375,0.03749999999999999,0.1875,15.0,247.66005572629507,165.10670381753008,17815.03050758096,0,0.4296829025825585,32780.55076949627,301.91886149037134,90.98753892321012,818.8878503088911,545.9232773720781,396.54332169662877,0.0,149.37995567544934,8000000,0.0,0.0,0.0,0.0,301.91886149037134,7787810.785573537,603.8377229807427,10587.754175967933,545.9232773720781
136.0,3982.9168687808015,208055.60447223776,5691.565938664276,4255.393319778217,0.0,6396942.960028881,1381071.5593716793,2622737.3369067498,0.07932765570707818,0.375,0.03749999999999999,0.1875,15.0,229.78366550658467,153.18911033772312,17769.286000080225,0,0.4278084597729147,32784.216711334375,284.5782969332138,85.10786639556434,765.9707975600791,519.9833688690234,378.49088627287773,0.0,141.49248259614563,8000000,0.0,0.0,0.0,0.0,284.5782969332138,7787961.478659003,569.1565938664276,9946.959258442494,519.9833688690234
137.0,3696.099799565549,208203.29300833814,5369.777133501049,3984.469411039317,0.0,6380435.964594121,1398310.3960534576,2623013.8963075588,0.07937559663767998,0.375,0.03749999999999999,0.1875,15.0,213.23652689801244,142.15768459867496,17723.43323498367,0,0.4259530034906835,32787.673703844484,268.4888566750525,79.68938822078636,717.2044939870771,495.67819274500084,361.54267110378447,0.0,134.13552164121637,8000000,0.0,0.0,0.0,0.0,268.4888566750525,7788100.60719212,536.977713350105,9354.246544540367,495.67819274500084
138.0,3430.62986640819,208340.359456949,5070.986662985997,3734.595485374139,0.0,6363896.546405067,1415526.882123237,2623274.9402865763,0.07941994804181263,0.375,0.03749999999999999,0.1875,15.0,197.9209538312417,131.94730255416115,17677.49040668074,0,0.42411681845130855,32790.93675358221,253.54933314929985,74.69190970748278,672.2271873673451,472.8928784025976,345.62340474828136,0.0,127.26947365431622,8000000,0.0,0.0,0.0,0.0,253.54933314929985,7788229.010676663,507.0986662985997,8805.582148360136,472.8928784025976
139.0,3184.932673647239,208467.59468939563,4793.350071751502,3503.951345083794,0.0,6347330.702369184,1432719.4688509603,2623521.5726582105,0.07946097979982364,0.375,0.03749999999999999,0.1875,15.0,183.7461157873407,122.49741052489381,17631.474173247734,0,0.4223001153090867,32794.01965822763,239.66750358757508,70.07902690167589,630.711242115083,451.5214390841829,330.66350048635456,0.0,120.85793859782832,8000000,0.0,0.0,0.0,0.0,239.66750358757508,7788347.47263698,479.33500717515017,8297.301416835297,451.5214390841829
140.0,2957.545186648229,208585.73115480557,4535.185452283184,3290.8874273315173,0.0,6330743.9253973,1449886.7253816514,2623754.8090819614,0.07949894191057764,0.375,0.03749999999999999,0.1875,15.0,170.6276069220132,113.75173794800881,17585.399792770277,0,0.42050303874675093,32796.935113524516,226.7592726141592,65.81774854663036,592.3597369196731,431.4660384673059,316.59859348813535,0.0,114.86744497917057,8000000,0.0,0.0,0.0,0.0,226.7592726141592,7788456.723658566,453.5185452283184,7826.072879614701,431.4660384673059
141.0,2747.10860679214,208695.44702723625,4294.958036713369,3093.9078587724584,0.0,6314141.248889124,1467027.329581379,2623975.5848037885,0.07953406587921501,0.375,0.03749999999999999,0.1875,15.0,158.48703500723883,105.65802333815924,17539.281246914234,0,0.41872567489182044,32799.69481004736,214.74790183566847,61.878157175449175,556.9034145790425,412.6363212552951,303.36911862068524,0.0,109.26720263460989,8000000,0.0,0.0,0.0,0.0,214.74790183566847,7788557.4443659885,429.49580367133694,7388.865895485827,412.6363212552951
142.0,2552.3615937868494,208797.3700853353,4071.2663426034896,2911.6552608069724,0.0,6297527.28707614,1484140.0596413447,2624184.761666016,0.07956656601906953,0.375,0.03749999999999999,0.1875,15.0,147.25163041077977,98.16775360718653,17493.131352989276,0,0.4169680580954709,32802.3095208252,203.56331713017448,58.23310521613945,524.0979469452551,394.94880191755857,290.91992503679825,0.0,104.02887688076034,8000000,0.0,0.0,0.0,0.0,203.56331713017448,7788650.268320895,407.12663426034896,6982.921603410462,394.94880191755857
143.0,2372.13383504985,208892.0813378954,3862.82970755819,2742.897120943348,0.0,6280906.271624912,1501223.7863736593,2624383.134459401,0.07959664067149451,0.375,0.03749999999999999,0.1875,15.0,136.85387509902978,91.23591673268655,17446.961865624755,0,0.4152301771106624,32804.78918074251,193.1414853779095,54.857942418866955,493.7214817698026,378.3263062941164,279.19992409072546,0.0,99.12638220339095,8000000,0.0,0.0,0.0,0.0,193.1414853779095,7788735.784827072,386.282970755819,6605.726828501538,378.3263062941164
144.0,2205.3399586007263,208980.1184085977,3668.4770658705497,2586.5135651246233,0.0,6264282.084863374,1518277.4661384497,2624571.436683022,0.07962447334743165,0.375,0.03749999999999999,0.1875,15.0,127.2311514577342,84.82076763848947,17400.783569064926,0,0.4135119807066933,32807.14295853777,183.4238532935275,51.73027130249246,465.5724417224322,362.6974612817382,268.1617674800866,0.0,94.53569380165158,8000000,0.0,0.0,0.0,0.0,183.4238532935275,7788814.541632819,366.847706587055,6254.990630995173,362.6974612817382
